frequency [Hz], energy flux nu*F_nu [erg/(cm²s)]
2695448706915789000, 1.52646821650736e-9
2692327664864381000, 1.434517716708157e-9
2805531711704468500, 1.994073524356389e-9
2743972190609956400, 1.873874275057506e-9
2930956669076974600, 1.498541190091982e-9
3053132967501525000, 2.044604823118669e-9
2986140531617417000, 1.921359635892656e-9
3208083485960710000, 1.549956068964896e-9
3098926669174606000, 1.4710398767628597e-9
3318316068350160000, 2.109475674309757e-9
3204814394537672700, 1.9822685122814487e-9
3491211812941254700, 1.5892331027515781e-9
3371640055263652000, 1.489691327125326e-9
3617495965244882000, 2.203629349845538e-9
3538120166977240600, 2.070798443487704e-9
3806685598214589400, 1.6767515827172083e-9
3723158564317357600, 1.575679942659015e-9
3931697412604735000, 2.2735457023933604e-9
3797215275260707300, 2.1364446682049718e-9
4137511050170087400, 1.7342557361483249e-9
3995803959570382300, 1.625630453257271e-9
4288166653791241000, 2.4347840891699325e-9
4172749209158782500, 2.2364654789604225e-9
4503917858247492000, 1.8049160097093443e-9
4350467942969729500, 1.70876673107261e-9
4669862430006826000, 2.5913004980886235e-9
4596858520827308000, 2.360654475866551e-9
4903681576555950000, 1.897221120330195e-9
4736611584128456000, 1.796154676710195e-9
5078056254533410000, 2.7476090178615743e-9
5041632890246242000, 2.5228697406577596e-9
4898457629586892000, 2.420370049155134e-9
5338680550833719000, 1.9892970114961173e-9
5227409487540655000, 1.8417239085211059e-9
5536920887870883000, 2.898918831611855e-9
5458008280653777000, 2.640900019597546e-9
5813614630107447000, 2.11192105358951e-9
5730426600181863000, 1.9179818429251186e-9
6028373030600747000, 3.04717228052214e-9
5866117347308210000, 2.7989732823316617e-9
6340708802996107000, 2.2616971250895387e-9
6286458504674946000, 2.0775570664920267e-9
6193681353267669000, 1.984968837615706e-9
6519112019120974000, 3.243008171414058e-9
6462336977491840000, 2.954397851845428e-9
6951660542050198000, 3.4513300915241193e-9
6893354256520475000, 2.3685100432298713e-9
6842324669585957000, 2.1479232322619732e-9
6834929880842244000, 2.0269157421015155e-9
7138977838669059000, 3.1936281208031756e-9
6886329811747019000, 3.0291328726835563e-9
7565177000590158000, 3.5387893500980194e-9
7505202211109194000, 2.489637885395855e-9
7449643283707269000, 2.257770056431351e-9
7387616690296014000, 2.0998805683720546e-9
7715028933571411000, 3.280618452429454e-9
8238564100621725000, 3.7662750657558365e-9
8183389235455313000, 2.626741324166075e-9
8113373197643850000, 2.4128805485623128e-9
8101319002687392000, 2.22796885342658e-9
7871404964122757000, 2.139664863407545e-9
8399807997135911000, 3.4483923807049835e-9
8954548287319689000, 3.895439374576136e-9
8892517622399010000, 2.6832760310021357e-9
8827370563035816000, 2.4434736837267314e-9
8572049848115649000, 2.2772099797074557e-9
9139577067309649000, 3.5037051577949413e-9
9751153385837180000, 4.135561648464756e-9
9678669278156503000, 3.7441954227727436e-9
9629456038819004000, 2.8486452529731516e-9
